"","test_year","npredictors","region","brier_score"
"782",2011,6,2,0.095
"783",2011,6,3,0.1247
"784",2011,6,4,0.0918
"785",2011,6,5,0.1177
"786",2011,6,6,0.1036
"787",2011,6,7,0.0934
"788",2011,6,8,0.1193
"789",2011,6,9,0.1062
"790",2011,6,10,0.0954
"791",2011,6,11,0.1071
"792",2011,6,12,0.1033
"793",2013,1,1,0.0337
"794",2013,1,2,0.0822
"795",2013,1,3,0.0881
"796",2013,1,4,0.0702
"797",2013,1,5,0.11
"798",2013,1,6,0.0771
"799",2013,1,7,0.0886
"800",2013,1,8,0.1131
"801",2013,1,9,0.0885
"802",2013,1,10,0.0954
"803",2013,1,11,0.1108
"804",2013,1,12,0.0946
"805",2013,2,1,0.0426
"806",2013,2,2,0.0708
"807",2013,2,3,0.0707
"808",2013,2,4,0.0692
"809",2013,2,5,0.0937
"810",2013,2,6,0.0663
"811",2013,2,7,0.0873
"812",2013,2,8,0.0988
"813",2013,2,9,0.0795
"814",2013,2,10,0.0856
"815",2013,2,11,0.1016
"816",2013,2,12,0.0889
"817",2013,3,1,0.0547
"818",2013,3,2,0.0719
"819",2013,3,3,0.0719
"820",2013,3,4,0.0693
"821",2013,3,5,0.0934
"822",2013,3,6,0.0682
"823",2013,3,7,0.0844
"824",2013,3,8,0.0937
"825",2013,3,9,0.0809
"826",2013,3,10,0.083
"827",2013,3,11,0.0989
"828",2013,3,12,0.0874
"829",2013,4,1,0.0578
"830",2013,4,2,0.0756
"831",2013,4,3,0.0682
"832",2013,4,4,0.0709
"833",2013,4,5,0.0946
"834",2013,4,6,0.0685
"835",2013,4,7,0.0852
"836",2013,4,8,0.0951
"837",2013,4,9,0.0872
"838",2013,4,10,0.0885
"839",2013,4,11,0.097
"840",2013,4,12,0.0904
"841",2013,5,1,0.0653
"842",2013,5,2,0.0731
"843",2013,5,3,0.0637
"844",2013,5,4,0.0748
"845",2013,5,5,0.091
"846",2013,5,6,0.0635
"847",2013,5,7,0.0815
"848",2013,5,8,0.0901
"849",2013,5,9,0.08
"850",2013,5,10,0.0859
"851",2013,5,11,0.0925
"852",2013,5,12,0.0893
"853",2013,6,1,0.067
"854",2013,6,2,0.0727
"855",2013,6,3,0.0617
"856",2013,6,4,0.0707
"857",2013,6,5,0.0913
"858",2013,6,6,0.0604
"859",2013,6,7,0.0759
"860",2013,6,8,0.0874
"861",2013,6,9,0.0791
"862",2013,6,10,0.0817
"863",2013,6,11,0.0918
"864",2013,6,12,0.0878
